,id,location,oddsBet365Away,oddsBet365Home,scoreAway,scoreHome,scoreQuarters,season,statsAway.Ast,statsAway.Blk,statsAway.BlkAgainst,statsAway.DefReb,statsAway.Ejections,statsAway.Fg2PtAtt,statsAway.Fg2PtMade,statsAway.Fg2PtPct,statsAway.Fg3PtAtt,statsAway.Fg3PtMade,statsAway.Fg3PtPct,statsAway.FgAtt,statsAway.FgMade,statsAway.FgPct,statsAway.FoulFlag1,statsAway.FoulFlag1Drawn,statsAway.FoulFlag2,statsAway.FoulFlag2Drawn,statsAway.FoulPers,statsAway.FoulPersDrawn,statsAway.FoulTech,statsAway.FoulTechDrawn,statsAway.Fouls,statsAway.FoulsDrawn,statsAway.FtAtt,statsAway.FtMade,statsAway.FtPct,statsAway.Losses,statsAway.OffReb,statsAway.PlusMinus,statsAway.Pts,statsAway.PtsAgainst,statsAway.Reb,statsAway.Stl,statsAway.Tov,statsAway.WinPct,statsAway.Wins,statsHome.Ast,statsHome.Blk,statsHome.BlkAgainst,statsHome.DefReb,statsHome.Ejections,statsHome.Fg2PtAtt,statsHome.Fg2PtMade,statsHome.Fg2PtPct,statsHome.Fg3PtAtt,statsHome.Fg3PtMade,statsHome.Fg3PtPct,statsHome.FgAtt,statsHome.FgMade,statsHome.FgPct,statsHome.FoulFlag1,statsHome.FoulFlag1Drawn,statsHome.FoulFlag2,statsHome.FoulFlag2Drawn,statsHome.FoulPers,statsHome.FoulPersDrawn,statsHome.FoulTech,statsHome.FoulTechDrawn,statsHome.Fouls,statsHome.FoulsDrawn,statsHome.FtAtt,statsHome.FtMade,statsHome.FtPct,statsHome.Losses,statsHome.OffReb,statsHome.PlusMinus,statsHome.Pts,statsHome.PtsAgainst,statsHome.Reb,statsHome.Stl,statsHome.Tov,statsHome.WinPct,statsHome.Wins,teamAwayCode,teamAwayId,teamHomeCode,teamHomeId,time,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,statsHome.seasonTotalPossessions,statsHome.last5TotalPossessions,statsHome.seasonTotalPoints,statsHome.last5TotalPoints,statsHome.seasonOffensiveRating,statsHome.last5OffensiveRating,statsHome.seasonDefensiveRating,statsHome.last5DefensiveRating,statsAway.seasonTotalPossessions,statsAway.last5TotalPossessions,statsAway.seasonTotalPoints,statsAway.last5TotalPoints,statsAway.seasonOffensiveRating,statsAway.last5OffensiveRating,statsAway.seasonDefensiveRating,statsAway.last5DefensiveRating
0,31176,Philips Arena,3.4,1.33,106,94,"[{'number': 1, 'scoreHome': 25, 'scoreAway': 25}, {'number': 2, 'scoreHome': 18, 'scoreAway': 23}, {'number': 3, 'scoreHome': 23, 'scoreAway': 34}, {'number': 4, 'scoreHome': 28, 'scoreAway': 24}]",2015,23,3,4,39,0,67,25,37.3,29,12,41.4,96,37,38.5,0,0,0,0,15,0,15,0,15,0,26,20,76.9,0,30,12,106,94,69,5,15,0.000,1,22,4,3,35,0,55,29,52.7,27,8,29.6,82,37,45.1,0,0,0,0,25,0,25,0,25,0,15,12,80.0,1,9,-12,94,106,44,9,15,0.000,0,DET,88,ATL,91,2015-10-27T20:00:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
1,31177,First Niagara Center,2.3,1.66,95,97,"[{'number': 1, 'scoreHome': 26, 'scoreAway': 17}, {'number': 2, 'scoreHome': 20, 'scoreAway': 23}, {'number': 3, 'scoreHome': 25, 'scoreAway': 28}, {'number': 4, 'scoreHome': 26, 'scoreAway': 27}]",2015,26,7,10,41,0,65,29,44.6,29,9,31.0,94,38,40.4,0,0,0,0,21,0,21,0,22,0,17,10,58.8,1,21,-2,95,97,62,5,10,0.000,0,13,10,7,42,0,68,30,44.1,19,7,36.8,87,37,42.5,0,0,0,0,22,0,22,0,22,0,23,16,69.6,0,16,2,97,95,58,6,13,0.000,1,CLE,86,CHI,89,2015-10-27T20:00:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
2,31178,Oracle Arena,5.25,1.18,95,111,"[{'number': 1, 'scoreHome': 39, 'scoreAway': 35}, {'number': 2, 'scoreHome': 20, 'scoreAway': 14}, {'number': 3, 'scoreHome': 35, 'scoreAway': 26}, {'number': 4, 'scoreHome': 17, 'scoreAway': 20}]",2015,21,3,7,31,0,65,29,44.6,18,6,33.3,83,35,42.2,0,0,0,0,26,0,26,0,26,0,27,19,70.4,1,18,-16,95,111,49,9,18,0.000,0,29,7,3,38,0,66,32,48.5,30,9,30.0,96,41,42.7,0,0,0,0,29,0,29,0,31,0,22,20,90.9,0,26,16,111,95,64,8,20,0.000,1,NOP,110,GSW,101,2015-10-27T22:30:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
3,31179,TD Garden,7.0,1.11,95,112,"[{'number': 1, 'scoreHome': 21, 'scoreAway': 26}, {'number': 2, 'scoreHome': 30, 'scoreAway': 14}, {'number': 3, 'scoreHome': 28, 'scoreAway': 27}, {'number': 4, 'scoreHome': 33, 'scoreAway': 28}]",2015,12,6,7,33,0,61,27,44.3,22,7,31.8,83,34,41.0,0,0,0,0,22,0,22,0,22,0,23,20,87.0,1,17,-17,95,112,50,11,22,0.000,0,31,7,6,35,0,61,31,50.8,24,8,33.3,85,39,45.9,0,0,0,0,23,0,23,0,23,0,27,26,96.3,0,14,17,112,95,49,10,16,0.000,1,PHI,85,BOS,82,2015-10-28T19:30:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
4,31180,Barclays Center,1.45,2.8,115,100,"[{'number': 1, 'scoreHome': 19, 'scoreAway': 30}, {'number': 2, 'scoreHome': 36, 'scoreAway': 28}, {'number': 3, 'scoreHome': 16, 'scoreAway': 28}, {'number': 4, 'scoreHome': 29, 'scoreAway': 29}]",2015,20,3,5,39,0,50,28,56.0,28,14,50.0,78,42,53.8,0,0,0,0,24,0,24,0,25,0,20,17,85.0,0,10,15,115,100,49,9,19,0.000,1,19,5,3,29,0,84,39,46.4,9,0,0.0,93,39,41.9,0,0,0,0,18,0,18,0,18,0,28,22,78.6,1,21,-15,100,115,50,11,13,0.000,0,CHI,89,BRO,84,2015-10-28T19:30:00.000Z,1,60,0,0,0,0,0,0,0,0,0,57,28,26,16,31,12,0.491,0.615,0.387,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,0.0,0.0,0,0,0,0,0,0,5196.4,467.8,5873,517,113.02,110.52,110.15,103.89
5,31181,The Palace of Auburn Hills,1.76,2.1,87,92,"[{'number': 1, 'scoreHome': 16, 'scoreAway': 15}, {'number': 2, 'scoreHome': 25, 'scoreAway': 29}, {'number': 3, 'scoreHome': 28, 'scoreAway': 20}, {'number': 4, 'scoreHome': 23, 'scoreAway': 23}]",2015,15,5,4,37,0,63,33,52.4,12,2,16.7,75,35,46.7,0,0,0,0,25,0,25,0,25,0,21,15,71.4,1,10,-5,87,92,47,4,12,0.000,0,16,4,5,36,0,55,23,41.8,19,7,36.8,74,30,40.5,0,0,0,0,21,0,21,0,22,0,34,25,73.5,0,16,5,92,87,52,2,10,0.000,1,UTA,98,DET,88,2015-10-28T19:30:00.000Z,60,1,61,31,28,17,33,14,0.508,0.607,0.424,0,0,0,0,0,0,0,0,0,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,5500.0,466.6,6289,484,114.35,103.73,110.31,107.8,0.0,0.0,0,0,0,0,0,0
6,31182,Toyota Center,5.5,1.16,105,85,"[{'number': 1, 'scoreHome': 21, 'scoreAway': 27}, {'number': 2, 'scoreHome': 28, 'scoreAway': 26}, {'number': 3, 'scoreHome': 14, 'scoreAway': 23}, {'number': 4, 'scoreHome': 22, 'scoreAway': 29}]",2015,26,10,8,43,0,52,27,51.9,27,13,48.2,79,40,50.6,0,0,0,0,26,0,26,0,26,0,18,12,66.7,0,15,20,105,85,58,9,21,0.000,1,17,8,10,30,0,52,22,42.3,35,8,22.9,87,30,34.5,0,0,0,0,19,0,19,0,19,0,26,17,65.4,1,23,-20,85,105,53,13,16,0.000,0,DEN,99,HOU,109,2015-10-28T20:00:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
7,31183,Staples Center,2.4,1.62,112,111,"[{'number': 1, 'scoreHome': 31, 'scoreAway': 22}, {'number': 2, 'scoreHome': 29, 'scoreAway': 29}, {'number': 3, 'scoreHome': 35, 'scoreAway': 37}, {'number': 4, 'scoreHome': 16, 'scoreAway': 24}]",2015,24,4,4,35,0,63,33,52.4,20,5,25.0,83,38,45.8,0,0,0,0,26,0,26,0,27,0,37,31,83.8,0,13,1,112,111,48,3,8,0.000,1,18,4,4,38,0,56,26,46.4,34,9,26.5,90,35,38.9,0,0,0,0,29,0,29,0,30,0,35,32,91.4,1,23,-1,111,112,61,2,13,0.000,0,MIN,100,LAL,105,2015-10-28T22:30:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
8,31184,FedEx Forum,3.15,1.38,106,76,"[{'number': 1, 'scoreHome': 10, 'scoreAway': 26}, {'number': 2, 'scoreHome': 22, 'scoreAway': 27}, {'number': 3, 'scoreHome': 23, 'scoreAway': 26}, {'number': 4, 'scoreHome': 21, 'scoreAway': 27}]",2015,29,2,3,44,0,55,28,50.9,29,13,44.8,84,41,48.8,0,0,0,0,25,0,25,0,25,0,17,11,64.7,0,17,30,106,76,61,7,19,0.000,1,15,3,2,32,0,66,27,40.9,16,2,12.5,82,29,35.4,0,0,0,0,18,0,18,0,18,0,22,16,72.7,1,15,-30,76,106,47,8,16,0.000,0,CLE,86,MEM,107,2015-10-28T20:00:00.000Z,1,60,0,0,0,0,0,0,0,0,0,59,39,33,25,26,14,0.661,0.758,0.538,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,False,0.0,0.0,0,0,0,0,0,0,5279.6,441.0,6148,523,116.45,118.59,113.42,114.74
9,31185,American Airlines Arena,3.2,1.37,94,104,"[{'number': 1, 'scoreHome': 23, 'scoreAway': 27}, {'number': 2, 'scoreHome': 31, 'scoreAway': 17}, {'number': 3, 'scoreHome': 19, 'scoreAway': 16}, {'number': 4, 'scoreHome': 31, 'scoreAway': 34}]",2015,16,1,7,33,0,60,27,45.0,24,6,25.0,84,33,39.3,0,0,0,0,16,0,16,0,16,0,29,22,75.9,1,16,-10,94,104,49,4,8,0.000,0,23,7,1,42,0,53,24,45.3,20,12,60.0,73,36,49.3,0,0,0,0,25,0,25,0,25,0,21,20,95.2,0,5,10,104,94,47,5,13,0.000,1,CHA,93,MIA,92,2015-10-28T19:30:00.000Z,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
