,id,location,scoreAway,scoreHome,scoreQuarters,season,statsAway.Ast,statsAway.Blk,statsAway.BlkAgainst,statsAway.DefReb,statsAway.Ejections,statsAway.Fg2PtAtt,statsAway.Fg2PtMade,statsAway.Fg2PtPct,statsAway.Fg3PtAtt,statsAway.Fg3PtMade,statsAway.Fg3PtPct,statsAway.FgAtt,statsAway.FgMade,statsAway.FgPct,statsAway.FoulFlag1,statsAway.FoulFlag1Drawn,statsAway.FoulFlag2,statsAway.FoulFlag2Drawn,statsAway.FoulPers,statsAway.FoulPersDrawn,statsAway.FoulTech,statsAway.FoulTechDrawn,statsAway.Fouls,statsAway.FoulsDrawn,statsAway.FtAtt,statsAway.FtMade,statsAway.FtPct,statsAway.Losses,statsAway.OffReb,statsAway.PlusMinus,statsAway.Pts,statsAway.PtsAgainst,statsAway.Reb,statsAway.Stl,statsAway.Tov,statsAway.WinPct,statsAway.Wins,statsHome.Ast,statsHome.Blk,statsHome.BlkAgainst,statsHome.DefReb,statsHome.Ejections,statsHome.Fg2PtAtt,statsHome.Fg2PtMade,statsHome.Fg2PtPct,statsHome.Fg3PtAtt,statsHome.Fg3PtMade,statsHome.Fg3PtPct,statsHome.FgAtt,statsHome.FgMade,statsHome.FgPct,statsHome.FoulFlag1,statsHome.FoulFlag1Drawn,statsHome.FoulFlag2,statsHome.FoulFlag2Drawn,statsHome.FoulPers,statsHome.FoulPersDrawn,statsHome.FoulTech,statsHome.FoulTechDrawn,statsHome.Fouls,statsHome.FoulsDrawn,statsHome.FtAtt,statsHome.FtMade,statsHome.FtPct,statsHome.Losses,statsHome.OffReb,statsHome.PlusMinus,statsHome.Pts,statsHome.PtsAgainst,statsHome.Reb,statsHome.Stl,statsHome.Tov,statsHome.WinPct,statsHome.Wins,teamAwayCode,teamHomeCode,time,time2,day,day2,MatchbookHomeOdd,MatchbookAwayOdd,PinnacleHomeOdd,PinnacleAwayOdd,Bet365HomeOdd,Bet365AwayOdd,gamesPlayedHome,gamesPlayedAway,totalGamesHome,totalWinsHome,homeGamesHome,homeWinsHome,awayGamesHome,awayWinsHome,percentageTotalWinHome,percentageHomeWinHome,percentageAwayWinHome,totalGamesAway,totalWinsAway,homeGamesAway,homeWinsAway,awayGamesAway,awayWinsAway,percentageTotalWinAway,percentageHomeWinAway,percentageAwayWinAway,lastGame1WinHome,lastGame1AtHomeHome,lastGame2WinHome,lastGame2AtHomeHome,lastGame3WinHome,lastGame3AtHomeHome,lastGame4WinHome,lastGame4AtHomeHome,lastGame5WinHome,lastGame5AtHomeHome,lastGame1WinAway,lastGame1AtHomeAway,lastGame2WinAway,lastGame2AtHomeAway,lastGame3WinAway,lastGame3AtHomeAway,lastGame4WinAway,lastGame4AtHomeAway,lastGame5WinAway,lastGame5AtHomeAway,statsHome.seasonTotalPossessions,statsHome.last5TotalPossessions,statsHome.seasonTotalPoints,statsHome.last5TotalPoints,statsHome.seasonOffensiveRating,statsHome.last5OffensiveRating,statsHome.seasonDefensiveRating,statsHome.last5DefensiveRating,statsAway.seasonTotalPossessions,statsAway.last5TotalPossessions,statsAway.seasonTotalPoints,statsAway.last5TotalPoints,statsAway.seasonOffensiveRating,statsAway.last5OffensiveRating,statsAway.seasonDefensiveRating,statsAway.last5DefensiveRating,homeWin
0,42070,Quicken Loans Arena,99,102,"[{'number': 1, 'scoreHome': 29, 'scoreAway': 19}, {'number': 2, 'scoreHome': 25, 'scoreAway': 19}, {'number': 3, 'scoreHome': 18, 'scoreAway': 33}, {'number': 4, 'scoreHome': 30, 'scoreAway': 28}]",2017,24,4,4,37,0,56,28,50.0,32,8,25.0,88,36,40.9,0,0,0,0,24,25,24,0,27,25,25,19,76.0,1,15,-3,99,102,52,11,10,0.000,0,19,4,4,43,0,61,33,54.1,22,5,22.7,83,38,45.8,0,0,0,0,25,24,25,0,27,24,25,21,84.0,0,12,3,102,99,55,3,17,1.000,1,BOS,CLE,2017-10-17 20:00:00,2017-10-18 20:00:00,20171017,20171018,1.66,2.4,1.61,2.49,1.57,2.55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
1,42071,Oracle Arena,122,121,"[{'number': 1, 'scoreHome': 35, 'scoreAway': 34}, {'number': 2, 'scoreHome': 36, 'scoreAway': 28}, {'number': 3, 'scoreHome': 30, 'scoreAway': 26}, {'number': 4, 'scoreHome': 20, 'scoreAway': 34}]",2017,28,5,9,33,0,56,32,57.1,41,15,36.6,97,47,48.4,0,0,0,0,16,25,16,0,17,25,19,13,68.4,0,20,1,122,121,53,9,12,1.000,1,34,9,5,36,0,50,27,54.0,30,16,53.3,80,43,53.8,0,0,0,0,25,16,25,1,25,16,21,19,90.5,1,6,-1,121,122,42,5,17,0.000,0,HOU,GSW,2017-10-17 22:30:00,2017-10-18 22:30:00,20171017,20171018,1.19,4.85,1.2,5.23,1.2,4.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,False
2,42072,The Palace of Auburn Hills,90,102,"[{'number': 1, 'scoreHome': 29, 'scoreAway': 27}, {'number': 2, 'scoreHome': 27, 'scoreAway': 18}, {'number': 3, 'scoreHome': 26, 'scoreAway': 25}, {'number': 4, 'scoreHome': 20, 'scoreAway': 20}]",2017,16,3,3,45,0,43,20,46.5,30,9,30.0,73,29,39.7,0,0,0,0,15,21,15,0,16,21,29,23,79.3,1,11,-12,90,102,56,4,17,0.000,0,24,3,3,39,0,70,32,45.7,26,9,34.6,96,41,42.7,0,0,0,0,21,15,21,0,22,15,12,11,91.7,0,11,12,102,90,50,14,8,1.000,1,CHA,DET,2017-10-18 19:00:00,2017-10-19 19:00:00,20171018,20171019,1.67,2.39,1.68,2.32,1.64,2.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
3,42073,Capital One Arena,115,120,"[{'number': 1, 'scoreHome': 32, 'scoreAway': 23}, {'number': 2, 'scoreHome': 24, 'scoreAway': 36}, {'number': 3, 'scoreHome': 34, 'scoreAway': 23}, {'number': 4, 'scoreHome': 30, 'scoreAway': 33}]",2017,25,6,10,39,0,59,28,47.5,35,15,42.9,94,43,45.7,0,0,0,0,28,20,28,0,28,20,19,14,73.7,1,18,-5,115,120,57,6,17,0.000,0,21,10,6,38,0,75,36,48.0,22,6,27.3,97,42,43.3,0,0,0,0,20,28,20,0,20,28,38,30,79.0,0,23,5,120,115,62,8,9,1.000,1,PHI,WAS,2017-10-18 19:00:00,2017-10-19 19:00:00,20171018,20171019,1.34,3.7,1.34,3.56,1.32,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
4,42074,Bankers Life Fieldhouse,131,140,"[{'number': 1, 'scoreHome': 29, 'scoreAway': 30}, {'number': 2, 'scoreHome': 36, 'scoreAway': 33}, {'number': 3, 'scoreHome': 41, 'scoreAway': 35}, {'number': 4, 'scoreHome': 34, 'scoreAway': 33}]",2017,22,2,9,34,0,64,33,51.6,30,12,40.0,94,45,47.9,0,0,0,0,25,25,25,0,25,25,32,29,90.6,1,17,-9,131,140,51,7,20,0.000,0,29,9,2,35,0,68,44,64.7,34,9,26.5,102,53,52.0,0,0,0,0,25,25,25,0,25,25,32,25,78.1,0,22,9,140,131,57,12,14,1.000,1,BRO,IND,2017-10-18 19:00:00,2017-10-19 19:00:00,20171018,20171019,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
5,42075,Amway Center,109,116,"[{'number': 1, 'scoreHome': 32, 'scoreAway': 37}, {'number': 2, 'scoreHome': 26, 'scoreAway': 18}, {'number': 3, 'scoreHome': 30, 'scoreAway': 23}, {'number': 4, 'scoreHome': 28, 'scoreAway': 31}]",2017,27,4,10,35,0,72,36,50.0,30,8,26.7,102,44,43.1,0,0,0,0,20,18,20,0,20,18,17,13,76.5,1,20,-7,109,116,56,6,13,0.000,0,22,10,4,41,0,69,35,50.7,21,8,38.1,90,43,47.8,0,0,0,0,18,20,18,0,18,20,29,22,75.9,0,18,7,116,109,60,8,14,1.000,1,MIA,ORL,2017-10-18 19:00:00,2017-10-19 19:00:00,20171018,20171019,2.35,1.69,2.32,1.68,2.3,1.66,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
6,42076,TD Garden,108,100,"[{'number': 1, 'scoreHome': 26, 'scoreAway': 24}, {'number': 2, 'scoreHome': 27, 'scoreAway': 34}, {'number': 3, 'scoreHome': 27, 'scoreAway': 18}, {'number': 4, 'scoreHome': 20, 'scoreAway': 32}]",2017,19,4,2,41,0,55,31,56.4,21,7,33.3,76,38,50.0,0,0,0,0,22,27,22,0,23,27,30,25,83.3,0,10,8,108,100,51,6,15,1.000,1,23,2,4,33,0,63,28,44.4,28,11,39.3,91,39,42.9,0,0,0,0,27,22,27,0,28,22,21,11,52.4,1,21,-8,100,108,54,12,12,0.000,0,MIL,BOS,2017-10-18 19:30:00,2017-10-19 19:30:00,20171018,20171019,1.69,2.35,1.7,2.29,1.44,2.85,33,1,33,19,18,9,15,10,0.576,0.5,0.667,0,0,0,0,0,0,0,0,0,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,3042.4,457.2,3384,524,111.23,114.61,111.89,116.36,0.0,0.0,0,0,0,0,0,0,False
7,42077,FedEx Forum,91,103,"[{'number': 1, 'scoreHome': 27, 'scoreAway': 34}, {'number': 2, 'scoreHome': 27, 'scoreAway': 18}, {'number': 3, 'scoreHome': 25, 'scoreAway': 18}, {'number': 4, 'scoreHome': 24, 'scoreAway': 21}]",2017,15,12,8,38,0,54,23,42.6,25,7,28.0,79,30,38.0,0,0,0,0,31,29,31,0,33,29,29,24,82.8,1,21,-12,91,103,60,4,18,0.000,0,19,8,12,32,0,63,30,47.6,29,9,31.0,92,39,42.4,0,0,0,0,29,31,29,0,29,31,28,16,57.1,0,27,12,103,91,59,9,11,1.000,1,NOP,MEM,2017-10-18 20:00:00,2017-10-19 20:00:00,20171018,20171019,1.75,2.23,1.74,2.22,1.64,2.35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
8,42078,American Airlines Center,117,111,"[{'number': 1, 'scoreHome': 24, 'scoreAway': 27}, {'number': 2, 'scoreHome': 23, 'scoreAway': 31}, {'number': 3, 'scoreHome': 35, 'scoreAway': 24}, {'number': 4, 'scoreHome': 29, 'scoreAway': 35}]",2017,20,6,4,39,0,76,39,51.3,18,9,50.0,94,48,51.1,0,0,0,0,18,19,18,0,20,19,15,12,80.0,0,14,6,117,111,54,11,13,1.000,1,27,4,6,34,0,41,21,51.2,45,17,37.8,86,38,44.2,0,0,0,0,19,18,19,1,19,18,21,18,85.7,1,12,-6,111,117,46,5,15,0.000,0,ATL,DAL,2017-10-18 20:30:00,2017-10-19 20:30:00,20171018,20171019,1.44,3.08,1.42,3.14,1.4,3.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,False
9,42079,Vivint Smart Home Arena,96,106,"[{'number': 1, 'scoreHome': 21, 'scoreAway': 30}, {'number': 2, 'scoreHome': 28, 'scoreAway': 28}, {'number': 3, 'scoreHome': 29, 'scoreAway': 25}, {'number': 4, 'scoreHome': 28, 'scoreAway': 13}]",2017,21,3,5,32,0,50,23,46.0,27,13,48.2,77,36,46.8,0,0,0,0,18,18,18,0,19,18,12,11,91.7,1,11,-10,96,106,43,4,21,0.000,0,28,5,3,31,0,57,32,56.1,24,9,37.5,81,41,50.6,0,0,0,0,18,18,18,0,18,18,16,15,93.8,0,9,10,106,96,40,9,15,1.000,1,DEN,UTA,2017-10-18 21:00:00,2017-10-19 21:00:00,20171018,20171019,1.79,2.17,1.79,2.14,1.76,2.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,True
